,title,related_title
4635,The path to ending ethnic conflicts,"To solve mass violence, look to locals"
4636,The path to ending ethnic conflicts,In defense of dialogue
4637,The path to ending ethnic conflicts,My wish: Let my photographs bear witness
4638,America's native prisoners of war,Dreams from endangered cultures
4639,America's native prisoners of war,The hidden reason for poverty the world needs to address now
4640,America's native prisoners of war,The story we tell about poverty isn't true
4641,America's native prisoners of war,My wish: Let my photographs bear witness
4642,America's native prisoners of war,A complicated hero in the war on dictatorship
4643,America's native prisoners of war,A tale of two Americas. And the mini-mart where they collided
4644,Making global labor fair,Our loss of wisdom
4645,Making global labor fair,We need to talk about an injustice
4646,Making global labor fair,Making law on the high seas
4647,Making global labor fair,The real reason manufacturing jobs are disappearing
4648,Making global labor fair,In praise of conflict
4649,Making global labor fair,How to build a business that lasts 100 years
4650,Simplifying complexity,The beauty of data visualization
4651,Simplifying complexity,The hidden influence of social networks
4652,Simplifying complexity,Toward a science of simplicity
4653,Simplifying complexity,"Got a wicked problem? First, tell me how you make toast"
4654,Simplifying complexity,Who controls the world?
4655,Simplifying complexity,A visual history of human knowledge
4656,Teaching kids real math with computers,Computing a theory of all knowledge
4657,Teaching kids real math with computers,Math class needs a makeover
4658,Teaching kids real math with computers,Teach statistics before calculus!
4659,Teaching kids real math with computers,Math is forever
4660,Teaching kids real math with computers,The mathematician who cracked Wall Street
4661,Teaching kids real math with computers,The self-organizing computer course
4662,A Darwinian theory of beauty,How beauty feels
4663,A Darwinian theory of beauty,What our language habits reveal
4664,A Darwinian theory of beauty,How language transformed humanity
4665,A Darwinian theory of beauty,How your brain decides what is beautiful
4666,A Darwinian theory of beauty,The origins of pleasure
4667,A Darwinian theory of beauty,When ideas have sex
4668,What a bike ride can teach you,The difference between winning and succeeding
4669,What a bike ride can teach you,Life lessons through tinkering
4670,What a bike ride can teach you,The El Sistema music revolution
4671,What a bike ride can teach you,To This Day ... for the bullied and beautiful
4672,What a bike ride can teach you,"A lyrical bridge between past, present and future"
4673,What a bike ride can teach you,How to raise successful kids -- without over-parenting
4674,My green school dream,A teacher growing green in the South Bronx
4675,My green school dream,"Magical houses, made of bamboo"
4676,My green school dream,Our campaign to ban plastic bags in Bali
4677,My green school dream,"My story, from gangland daughter to star teacher"
4678,My green school dream,A summer school kids actually want to attend
4679,My green school dream,"How to fix a broken school? Lead fearlessly, love hard"
4680,Making law on the high seas,How we wrecked the ocean
4681,Making law on the high seas,My wish: Protect our oceans
4682,Making law on the high seas,A census of the ocean
4683,Making law on the high seas,Wiring an interactive ocean
4684,Making law on the high seas,"An underwater art museum, teeming with life"
4685,Making law on the high seas,How pollution is changing the ocean's chemistry
4686,Protecting the brain against concussion,The wireless future of medicine
4687,Protecting the brain against concussion,5 dangerous things you should let your kids do
4688,Protecting the brain against concussion,Growing evidence of brain plasticity
4689,Protecting the brain against concussion,Why helmets don't prevent concussions -- and what might
4690,Protecting the brain against concussion,What adults can learn from kids
4691,Protecting the brain against concussion,What a bike ride can teach you
4692,"Women, wartime and the dream of peace",On humanity
4693,"Women, wartime and the dream of peace",Happiness in body and soul
4694,"Women, wartime and the dream of peace",What I saw in the war
4695,"Women, wartime and the dream of peace",Why veterans miss war
4696,"Women, wartime and the dream of peace",My wish: Let my photographs bear witness
4697,"Women, wartime and the dream of peace",The real harm of the global arms trade
4698,Why work doesn't happen at work,"Build a tower, build a team"
4699,Why work doesn't happen at work,How great leaders inspire action
4700,Why work doesn't happen at work,Got a meeting? Take a walk
4701,Why work doesn't happen at work,How to save the world (or at least yourself) from bad meetings
4702,Why work doesn't happen at work,How to succeed? Get more sleep
4703,Why work doesn't happen at work,Why do we sleep?
4704,Creative houses from reclaimed stuff,How painting can transform communities
4705,Creative houses from reclaimed stuff,"Be an artist, right now!"
4706,Creative houses from reclaimed stuff,"Magical houses, made of bamboo"
4707,Creative houses from reclaimed stuff,A smog vacuum cleaner and other magical city designs
4708,Creative houses from reclaimed stuff,Paper beats plastic? How to rethink environmental folklore
4709,Creative houses from reclaimed stuff,"Organic design, inspired by nature"
4710,What's wrong with our food system,How I fell in love with a fish
4711,What's wrong with our food system,A foie gras parable
4712,What's wrong with our food system,Teach every child about food
4713,What's wrong with our food system,Obesity + hunger = 1 global food issue
4714,What's wrong with our food system,My subversive (garden) plot
4715,What's wrong with our food system,The global food waste scandal
4716,"The walk from ""no"" to ""yes""","Take ""the Other"" to lunch"
4717,"The walk from ""no"" to ""yes""",Teaching with the World Peace Game
4718,"The walk from ""no"" to ""yes""",Two nameless bodies washed up on the beach. Here are their stories
4719,"The walk from ""no"" to ""yes""","To solve mass violence, look to locals"
4720,"The walk from ""no"" to ""yes""",In defense of dialogue
4721,"The walk from ""no"" to ""yes""",The path to ending ethnic conflicts
4722,Why not eat insects?,How I fell in love with a fish
4723,Why not eat insects?,The roots of plant intelligence
4724,Why not eat insects?,The shrimp with a kick!
4725,Why not eat insects?,What we learn from insects' sex lives
4726,Why not eat insects?,What's wrong with what we eat
4727,Why not eat insects?,The beautiful tricks of flowers
4728,How I taught rats to sniff out land mines,How poachers became caretakers
4729,How I taught rats to sniff out land mines,Natural pest control ... using bugs!
4730,How I taught rats to sniff out land mines,A thought experiment on the intelligence of crows
4731,How I taught rats to sniff out land mines,"Depressed dogs, cats with OCD — what animal madness means for us humans"
4732,How I taught rats to sniff out land mines,It's time to question bio-engineering
4733,How I taught rats to sniff out land mines,The jungle search for viruses
4734,A vision for sustainable restaurants,Teach every child about food
4735,A vision for sustainable restaurants,Using nature's genius in architecture
4736,A vision for sustainable restaurants,The global food waste scandal
4737,A vision for sustainable restaurants,Energy from floating algae pods
4738,A vision for sustainable restaurants,Simple designs to save a life
4739,A vision for sustainable restaurants,Cooking as never seen before
4740,A feminine response to Iceland's financial crash,Patient capitalism
4741,A feminine response to Iceland's financial crash,"Women entrepreneurs, example not exception"
4742,A feminine response to Iceland's financial crash,The career advice you probably didn’t get
4743,A feminine response to Iceland's financial crash,It's time for women to run for office
4744,A feminine response to Iceland's financial crash,The way we think about charity is dead wrong
4745,A feminine response to Iceland's financial crash,The investment logic for sustainability
4746,A call to men,Violence against women -- it's a men's issue
4747,A call to men,The demise of guys?
4748,A call to men,New data on the rise of women
4749,A call to men,We should all be feminists
4750,A call to men,"One woman, five characters, and a sex lesson from the future"
4751,A call to men,How we turned the tide on domestic violence (Hint: the Polaroid helped)
4752,A police chief with a difference,Life science in prison
4753,A police chief with a difference,The secret US prisons you've never heard of before
4754,A police chief with a difference,How prisons can help inmates live meaningful lives
4755,A police chief with a difference,How to stop torture
4756,A police chief with a difference,Why your worst deeds don’t define you
4757,A police chief with a difference,How we're priming some kids for college — and others for prison
4758,New data on the rise of women,A feminine response to Iceland's financial crash
4759,New data on the rise of women,Why we have too few women leaders
4760,New data on the rise of women,We should all be feminists
4761,New data on the rise of women,"Can we all ""have it all""?"
4762,New data on the rise of women,3 lessons on success from an Arab businesswoman
4763,New data on the rise of women,Why gender equality is good for everyone — men included
4764,How to learn? From mistakes,What teachers make
4765,How to learn? From mistakes,Every kid needs a champion
4766,How to learn? From mistakes,A short intro to the Studio School
4767,How to learn? From mistakes,A summer school kids actually want to attend
4768,How to learn? From mistakes,"How to fix a broken school? Lead fearlessly, love hard"
4769,How to learn? From mistakes,How America's public schools keep kids in poverty
4770,Let's talk parenting taboos,"Once upon a time, my mother ..."
4771,Let's talk parenting taboos,Meet the founder of the blog revolution
4772,Let's talk parenting taboos,Happiness and its surprises
4773,Let's talk parenting taboos,There's more to life than being happy
4774,Let's talk parenting taboos,Want to be happier? Stay in the moment
4775,Let's talk parenting taboos,The surprising science of happiness
4776,The case for collaborative consumption,The new open-source economics
4777,The case for collaborative consumption,The era of open innovation
4778,The case for collaborative consumption,"The future of business is the ""mesh"""
4779,The case for collaborative consumption,"Excuse me, may I rent your car?"
4780,The case for collaborative consumption,The currency of the new economy is trust
4781,The case for collaborative consumption,The post-crisis consumer
4782,Life lessons from big cats,How humans and animals can live together
4783,Life lessons from big cats,My invention that made peace with lions
4784,Life lessons from big cats,What I learned from Nelson Mandela
4785,Life lessons from big cats,How photography connects us
4786,Life lessons from big cats,How poachers became caretakers
4787,Life lessons from big cats,The genius puppetry behind War Horse
4788,Why we have too few women leaders,So we leaned in ... now what?
4789,Why we have too few women leaders,New data on the rise of women
4790,Why we have too few women leaders,"Can we all ""have it all""?"
4791,Why we have too few women leaders,3 lessons on success from an Arab businesswoman
4792,Why we have too few women leaders,We should all be feminists
4793,Why we have too few women leaders,On being a woman and a diplomat
4794,3 stories of local eco-entrepreneurship,Greening the ghetto
4795,3 stories of local eco-entrepreneurship,"Don't build your home, grow it!"
4796,3 stories of local eco-entrepreneurship,"Don't ask where I'm from, ask where I'm a local"
4797,3 stories of local eco-entrepreneurship,Doesn't everyone deserve a chance at a good life?
4798,3 stories of local eco-entrepreneurship,Who belongs in a city?
4799,3 stories of local eco-entrepreneurship,A smog vacuum cleaner and other magical city designs
4800,The power of vulnerability,Listening to shame
4801,The power of vulnerability,Gaming to re-engage boys in learning
4802,The power of vulnerability,Our loss of wisdom
4803,The power of vulnerability,Why the only future worth building includes everyone
4804,The power of vulnerability,A queer vision of love and marriage
4805,The power of vulnerability,10 ways to have a better conversation
4806,Using our practical wisdom,Our loss of wisdom
4807,Using our practical wisdom,Four ways to fix a broken legal system
4808,Using our practical wisdom,How I learned to read -- and trade stocks -- in prison
4809,Using our practical wisdom,A prosecutor's vision for a better justice system
4810,Using our practical wisdom,Why the world needs charter cities
4811,Using our practical wisdom,How I help free innocent people from prison
4812,How to succeed? Get more sleep,8 secrets of success
4813,How to succeed? Get more sleep,Why do we sleep?
4814,How to succeed? Get more sleep,Why school should start later for teens
4815,How to succeed? Get more sleep,Why work doesn't happen at work
4816,How to succeed? Get more sleep,The quantified self
4817,How to succeed? Get more sleep,The wireless future of medicine
4818,On reading the Koran,The doubt essential to faith
4819,On reading the Koran,Faith versus tradition in Islam
4820,On reading the Koran,The worldwide web of belief and ritual
4821,On reading the Koran,Superheroes inspired by Islam
4822,On reading the Koran,Street art with a message of hope and peace
4823,On reading the Koran,"Lose your ego, find your compassion"
4824,Your brain on improv,How to truly listen
4825,Your brain on improv,Building the musical muscle
4826,Your brain on improv,The unexpected beauty of everyday sounds
4827,Your brain on improv,Inventing instruments that unlock new music
4828,Your brain on improv,The mad scientist of music
4829,Your brain on improv,There are no mistakes on the bandstand
4830,"A test that finds 3x more breast tumors, and why it's not available to you",Open-source cancer research
4831,"A test that finds 3x more breast tumors, and why it's not available to you",Fighting cancer with dance
4832,"A test that finds 3x more breast tumors, and why it's not available to you",Visualizing the medical data explosion
4833,"A test that finds 3x more breast tumors, and why it's not available to you",This tiny particle could roam your body to find tumors
4834,"A test that finds 3x more breast tumors, and why it's not available to you",We can start winning the war against cancer
4835,"A test that finds 3x more breast tumors, and why it's not available to you",Treating cancer with electric fields
4836,The 3 A's of awesome,The new era of positive psychology
4837,The 3 A's of awesome,The habits of happiness
4838,The 3 A's of awesome,Measuring what makes life worthwhile
4839,The 3 A's of awesome,Wearing nothing new
4840,The 3 A's of awesome,"On tennis, love and motherhood"
4841,The 3 A's of awesome,The council of dads
4842,A realistic vision for world peace,The technology of the heart
4843,A realistic vision for world peace,How I became an activist
4844,A realistic vision for world peace,My wish: The Charter for Compassion
4845,A realistic vision for world peace,Why Libya's revolution didn't work -- and what might
4846,A realistic vision for world peace,Why democracy matters
4847,A realistic vision for world peace,This is what democracy looks like
4848,We are all cyborgs now,How technology evolves
4849,We are all cyborgs now,The accelerating power of technology
4850,We are all cyborgs now,"Robots that ""show emotion"""
4851,We are all cyborgs now,"Embracing otherness, embracing myself"
4852,We are all cyborgs now,"Life in the ""digital now"""
4853,We are all cyborgs now,"Know thyself, with a brain scanner"
4854,How I built a toaster -- from scratch,When ideas have sex
4855,How I built a toaster -- from scratch,We can recycle plastic
4856,How I built a toaster -- from scratch,Tough truths about plastic pollution
4857,How I built a toaster -- from scratch,The economic injustice of plastic
4858,How I built a toaster -- from scratch,Seas of plastic
4859,How I built a toaster -- from scratch,Our campaign to ban plastic bags in Bali
4860,"Take ""the Other"" to lunch",The moral roots of liberals and conservatives
4861,"Take ""the Other"" to lunch",Why lunch ladies are heroes
4862,"Take ""the Other"" to lunch",When to take a stand -- and when to let it go
4863,"Take ""the Other"" to lunch",Political common ground in a polarized United States
4864,"Take ""the Other"" to lunch",How common threats can make common (political) ground
4865,"Take ""the Other"" to lunch",3 ways to plan for the (very) long term
4866,Gaming to re-engage boys in learning,Gaming can make a better world
4867,Gaming to re-engage boys in learning,The game layer on top of the world
4868,Gaming to re-engage boys in learning,When games invade real life
4869,Gaming to re-engage boys in learning,Why not make video games for girls?
4870,Gaming to re-engage boys in learning,The demise of guys?
4871,Gaming to re-engage boys in learning,A taboo-free way to talk about periods
4872,Addicted to risk,The oil spill's unseen villains -- and victims
4873,Addicted to risk,Our buggy moral code
4874,Addicted to risk,The riddle of experience vs. memory
4875,Addicted to risk,The political chemistry of oil
4876,Addicted to risk,The true cost of oil
4877,Addicted to risk,Using biology to rethink the energy challenge
4878,Singing after a double lung transplant,Growing new organs
4879,Singing after a double lung transplant,Doctors make mistakes. Can we talk about that?
4880,Singing after a double lung transplant,How do we heal medicine?
4881,Singing after a double lung transplant,A tribute to nurses
4882,Singing after a double lung transplant,The amazing story of the man who gave us modern pain relief
4883,Singing after a double lung transplant,What your doctor won’t disclose
4884,The economic injustice of plastic,Greening the ghetto
4885,The economic injustice of plastic,We can recycle plastic
4886,The economic injustice of plastic,Seas of plastic
4887,The economic injustice of plastic,Tough truths about plastic pollution
4888,The economic injustice of plastic,How I built a toaster -- from scratch
4889,The economic injustice of plastic,Our campaign to ban plastic bags in Bali
4890,Visualizing the medical data explosion,A look inside the brain in real time
4891,Visualizing the medical data explosion,The beauty of data visualization
4892,Visualizing the medical data explosion,Pointing to the future of UI
4893,Visualizing the medical data explosion,Big data is better data
4894,Visualizing the medical data explosion,The human insights missing from big data
4895,Visualizing the medical data explosion,How we can find ourselves in data
4896,Silicon-based comedy,My seven species of robot -- and how we created them
4897,Silicon-based comedy,"Robots that ""show emotion"""
4898,Silicon-based comedy,"Building ""self-aware"" robots"
4899,Silicon-based comedy,Robots will invade our lives
4900,Silicon-based comedy,"Meet Spot, the robot dog that can run, hop and open doors"
4901,Silicon-based comedy,A mini robot -- powered by your phone
4902,Understanding the rise of China,Global power shifts
4903,Understanding the rise of China,Asia's rise -- how and when
4904,Understanding the rise of China,Are China and the US doomed to conflict?
4905,Understanding the rise of China,Behind the Great Firewall of China
4906,Understanding the rise of China,A tale of two political systems
4907,Understanding the rise of China,The hunt for General Tso
4908,It's time to redesign medical data,The quantified self
4909,It's time to redesign medical data,Let's pool our medical data
4910,It's time to redesign medical data,What your doctor won’t disclose
4911,It's time to redesign medical data,A doctor's case for medical marijuana
4912,It's time to redesign medical data,Meet e-Patient Dave
4913,It's time to redesign medical data,The big idea my brother inspired
4914,Drawing on humor for change,My 5 lives as an artist
4915,Drawing on humor for change,Learning from Sherman the shark
4916,Drawing on humor for change,The illustrated woman
4917,Drawing on humor for change,Anatomy of a New Yorker cartoon
4918,Drawing on humor for change,The power of cartoons
4919,Drawing on humor for change,"Radical women, embracing tradition"
4920,"Know thyself, with a brain scanner",Visualizing ourselves ... with crowd-sourced data
4921,"Know thyself, with a brain scanner",Gaming can make a better world
4922,"Know thyself, with a brain scanner",The game layer on top of the world
4923,"Know thyself, with a brain scanner",How a handful of tech companies control billions of minds every day
4924,"Know thyself, with a brain scanner",A headset that reads your brainwaves
4925,"Know thyself, with a brain scanner","Life in the ""digital now"""
4926,The council of dads,The opportunity of adversity
4927,The council of dads,The 3 A's of awesome
4928,The council of dads,Looking past limits
4929,The council of dads,Why I speak up about living with epilepsy
4930,The council of dads,"On tennis, love and motherhood"
4931,The council of dads,12 truths I learned from life and writing
4932,Reviving New York's rivers -- with oysters!,Biomimicry in action
4933,Reviving New York's rivers -- with oysters!,New York -- before the City
4934,Reviving New York's rivers -- with oysters!,Let's prepare for our new climate
4935,Reviving New York's rivers -- with oysters!,Energy from floating algae pods
4936,Reviving New York's rivers -- with oysters!,4 ways we can avoid a catastrophic drought
4937,Reviving New York's rivers -- with oysters!,Saving the ocean one island at a time
4938,We are makers,"Claim your ""manspace"""
4939,We are makers,Education innovation in the slums
4940,We are makers,Life lessons through tinkering
4941,We are makers,Be an opportunity maker
4942,We are makers,How Arduino is open-sourcing imagination
4943,We are makers,"Playtime with Pleo, your robotic dinosaur friend"
4944,Social media and the end of gender,The tribes we lead
4945,Social media and the end of gender,The voices of Twitter users
4946,Social media and the end of gender,Lessons from fashion's free culture
4947,Social media and the end of gender,How social media can make history
4948,Social media and the end of gender,Let's design social media that drives real change
4949,Social media and the end of gender,Why we should invest in a free press
4950,Are we born to run?,A dig for humanity's origins
4951,Are we born to run?,"The new bionics that let us run, climb and dance"
4952,Are we born to run?,"Are athletes really getting faster, better, stronger?"
4953,Are we born to run?,Changing my legs - and my mindset
4954,Are we born to run?,Making peace is a marathon
4955,Are we born to run?,Living beyond limits
4956,"Poems of war, peace, women, power",Tales of passion
4957,"Poems of war, peace, women, power","Women, wartime and the dream of peace"
4958,"Poems of war, peace, women, power",Ballroom dance that breaks gender roles
4959,"Poems of war, peace, women, power",A visual history of social dance in 25 moves
4960,"Poems of war, peace, women, power",On humanity
4961,"Poems of war, peace, women, power",Inspiring a life of immersion
4962,How to make work-life balance work,We're worried about local warming ... in your lap
4963,How to make work-life balance work,"A kinder, gentler philosophy of success"
4964,How to make work-life balance work,3 ways to plan for the (very) long term
4965,How to make work-life balance work,In praise of slowness
4966,How to make work-life balance work,Agile programming -- for your family
4967,How to make work-life balance work,How to run a company with (almost) no rules
4968,The rise of personal robots,Robots will invade our lives
4969,The rise of personal robots,"Robots that ""show emotion"""
4970,The rise of personal robots,Silicon-based comedy
4971,The rise of personal robots,"Meet Spot, the robot dog that can run, hop and open doors"
4972,The rise of personal robots,Robots that fly ... and cooperate
4973,The rise of personal robots,4 lessons from robots about being human
4974,Mother and daughter doctor-heroes,A realistic vision for world peace
4975,Mother and daughter doctor-heroes,On being a woman and a diplomat
4976,Mother and daughter doctor-heroes,Why we have too few women leaders
4977,Mother and daughter doctor-heroes,A tribute to nurses
4978,Mother and daughter doctor-heroes,What your doctor won’t disclose
4979,Mother and daughter doctor-heroes,See Yemen through my eyes
4980,Using nature's genius in architecture,Biomimicry in action
4981,Using nature's genius in architecture,Winning the oil endgame
4982,Using nature's genius in architecture,"Organic design, inspired by nature"
4983,Using nature's genius in architecture,Biomimicry's surprising lessons from nature's engineers
4984,Using nature's genius in architecture,A vision for sustainable restaurants
4985,Using nature's genius in architecture,Energy from floating algae pods
4986,A whistleblower you haven't heard,A one-man orchestra of the imagination
4987,A whistleblower you haven't heard,The transformative power of classical music
4988,A whistleblower you haven't heard,"Rhythm is everything, everywhere"
4989,A whistleblower you haven't heard,"Global warming's theme song, ""Manhattan in January"""
4990,A whistleblower you haven't heard,Dance to change the world
4991,A whistleblower you haven't heard,The joyful tradition of mountain music
4992,Reconnecting with compassion,My wish: The Charter for Compassion
4993,Reconnecting with compassion,Expanding your circle of compassion
4994,Reconnecting with compassion,"Lose your ego, find your compassion"
4995,Reconnecting with compassion,Compassion and the true meaning of empathy
4996,Reconnecting with compassion,The profound journey of compassion
4997,Reconnecting with compassion,Everyday compassion at Google
4998,The linguistic genius of babies,What do babies think?
4999,The linguistic genius of babies,A word game to communicate in any language
5000,The linguistic genius of babies,The surprisingly logical minds of babies
5001,The linguistic genius of babies,A warm embrace that saves lives
5002,The linguistic genius of babies,The US needs paid family leave -- for the sake of its future
5003,The linguistic genius of babies,A full-band beatbox
5004,Inspiring a life of immersion,Patient capitalism
5005,Inspiring a life of immersion,The life-long learner
5006,Inspiring a life of immersion,A third way to think about aid
5007,Inspiring a life of immersion,How I work to protect women from honor killings
5008,Inspiring a life of immersion,"When Black women walk, things change"
5009,Inspiring a life of immersion,"A passionate, personal case for education"
5010,"The future of business is the ""mesh""",The new open-source economics
5011,"The future of business is the ""mesh""",The case for collaborative consumption
5012,"The future of business is the ""mesh""",The idea behind Zipcar (and what comes next)
5013,"The future of business is the ""mesh""","Excuse me, may I rent your car?"
5014,"The future of business is the ""mesh""",Uber's plan to get more people into fewer cars
5015,"The future of business is the ""mesh""",A future beyond traffic gridlock
5016,On being a woman and a diplomat,New rules for rebuilding a broken nation
5017,On being a woman and a diplomat,So we leaned in ... now what?
5018,On being a woman and a diplomat,Why we have too few women leaders
5019,On being a woman and a diplomat,See Yemen through my eyes
5020,On being a woman and a diplomat,This tennis icon paved the way for women in sports
5021,On being a woman and a diplomat,3 lessons on success from an Arab businesswoman
5022,How to use experts -- and when not to,The art of choosing
5023,How to use experts -- and when not to,Global priorities bigger than climate change
5024,How to use experts -- and when not to,How to build a company where the best ideas win
5025,How to use experts -- and when not to,How to stay calm when you know you'll be stressed
5026,How to use experts -- and when not to,Doctors make mistakes. Can we talk about that?
5027,How to use experts -- and when not to,How do we heal medicine?
5028,Saving faces: A facial surgeon's craft,Animating a photo-real digital face
5029,Saving faces: A facial surgeon's craft,Growing new organs
5030,Saving faces: A facial surgeon's craft,On glamour
5031,Saving faces: A facial surgeon's craft,A tool to fix one of the most dangerous moments in surgery
5032,Saving faces: A facial surgeon's craft,"Surgery's past, present and robotic future"
5033,Saving faces: A facial surgeon's craft,Lifelike simulations that make real-life surgery safer
5034,Curating humanity's heritage,Dreams from endangered cultures
5035,Curating humanity's heritage,The worldwide web of belief and ritual
5036,Curating humanity's heritage,Photos of endangered cultures
5037,Curating humanity's heritage,"A lyrical bridge between past, present and future"
5038,Curating humanity's heritage,Photos from a storm chaser
5039,Curating humanity's heritage,Cloudy with a chance of joy
5040,Understanding cancer through proteomics,A new strategy in the war on cancer
5041,Understanding cancer through proteomics,Can we eat to starve cancer?
5042,Understanding cancer through proteomics,Meet the future of cancer research
5043,Understanding cancer through proteomics,A simple new blood test that can catch cancer early
5044,Understanding cancer through proteomics,The future of early cancer detection?
5045,Understanding cancer through proteomics,New nanotech to detect cancer early
5046,"A modern take on piano, violin, cello","A string quartet plays ""Blue Room"""
5047,"A modern take on piano, violin, cello","A dance in a hurricane of paper, wind and light"
5048,"A modern take on piano, violin, cello",Dancing with light
5049,"A modern take on piano, violin, cello",An 11-year-old prodigy performs old-school jazz
5050,"A modern take on piano, violin, cello",My magic moves
5051,"A modern take on piano, violin, cello","On violin and cello, ""Passacaglia"""
5052,A historic moment in the Arab world,Africa's cheetahs versus hippos
5053,A historic moment in the Arab world,The attitudes that sparked Arab Spring
5054,A historic moment in the Arab world,Inside the Egyptian revolution
5055,A historic moment in the Arab world,A global culture to fight extremism
5056,A historic moment in the Arab world,We can fight terror without sacrificing our rights
5057,A historic moment in the Arab world,Let's design social media that drives real change
5058,My wish: Use art to turn the world inside out,One year of turning the world inside out
5059,My wish: Use art to turn the world inside out,My wish: Let my photographs bear witness
5060,My wish: Use art to turn the world inside out,My wish: A global day of film
5061,My wish: Use art to turn the world inside out,(Re)touching lives through photos
5062,My wish: Use art to turn the world inside out,"A father-daughter bond, one photo at a time"
5063,My wish: Use art to turn the world inside out,Institutions vs. collaboration
5064,Inside the Egyptian revolution,A historic moment in the Arab world
5065,Inside the Egyptian revolution,Let's design social media that drives real change
5066,Inside the Egyptian revolution,The attitudes that sparked Arab Spring
5067,Inside the Egyptian revolution,How to topple a dictator
5068,Inside the Egyptian revolution,A thousand times no
5069,Inside the Egyptian revolution,Help discover ancient ruins -- before it's too late
5070,How state budgets are breaking US schools,"Mosquitos, malaria and education"
5071,How state budgets are breaking US schools,Every kid needs a champion
5072,How state budgets are breaking US schools,Teachers need real feedback
5073,How state budgets are breaking US schools,What we learned from teetering on the fiscal cliff
5074,How state budgets are breaking US schools,The economic case for preschool
5075,How state budgets are breaking US schools,How to buy happiness
5076,Printing a human kidney,Growing new organs
5077,Printing a human kidney,The potential of regenerative medicine
5078,Printing a human kidney,Leather and meat without killing animals
5079,Printing a human kidney,A new way to grow bone
5080,Printing a human kidney,"Transplant cells, not organs"
5081,Printing a human kidney,Caring for engineered tissue
5082,This isn't her mother's feminism,Tales of passion
5083,This isn't her mother's feminism,So we leaned in ... now what?
5084,This isn't her mother's feminism,New data on the rise of women
5085,This isn't her mother's feminism,Confessions of a bad feminist
5086,This isn't her mother's feminism,We should all be feminists
5087,This isn't her mother's feminism,Why I must come out
5088,Let's use video to reinvent education,Just how small is an atom?
5089,Let's use video to reinvent education,Teach statistics before calculus!
5090,Let's use video to reinvent education,The secret life of plankton
5091,Let's use video to reinvent education,Why massive open online courses (still) matter
5092,Let's use video to reinvent education,"The 100,000-student classroom"
5093,Let's use video to reinvent education,Teachers need real feedback
5094,The birth of a word,The linguistic genius of babies
5095,The birth of a word,Human nature and the blank slate
5096,The birth of a word,What we learned from 5 million books
5097,The birth of a word,The beauty of data visualization
5098,The birth of a word,Mapping ideas worth spreading
5099,The birth of a word,Meet the Water Canary
5100,How to keep rivers and streams flowing,The ancient ingenuity of water harvesting
5101,How to keep rivers and streams flowing,Simple designs to save a life
5102,How to keep rivers and streams flowing,Averting the climate crisis
5103,How to keep rivers and streams flowing,4 ways we can avoid a catastrophic drought
5104,How to keep rivers and streams flowing,A young scientist's quest for clean water
5105,How to keep rivers and streams flowing,How to make filthy water drinkable
5106,The social animal,The moral roots of liberals and conservatives
5107,The social animal,Why thinking you're ugly is bad for you
5108,The social animal,Why we do what we do
5109,The social animal,There's more to life than being happy
5110,The social animal,"Flow, the secret to happiness"
5111,The social animal,Can prejudice ever be a good thing?
5112,The sound the universe makes,Shedding light on dark matter
5113,The sound the universe makes,The hunt for a supermassive black hole
5114,The sound the universe makes,What the discovery of gravitational waves means
5115,The sound the universe makes,"How I fell in love with quasars, blazars and our incredible universe"
5116,The sound the universe makes,How to take a picture of a black hole
5117,The sound the universe makes,How radio telescopes show us unseen galaxies
5118,A life lesson from a volunteer firefighter,Let's revive the Golden Rule
5119,A life lesson from a volunteer firefighter,The fastest ambulance? A motorcycle
5120,A life lesson from a volunteer firefighter,Why you should talk to strangers
5121,A life lesson from a volunteer firefighter,Dog-friendly dog training
5122,A life lesson from a volunteer firefighter,How to tie your shoes
5123,A life lesson from a volunteer firefighter,Two poems about what dogs think (probably)
5124,Why light needs darkness,Playing with space and light
5125,Why light needs darkness,How painting can transform communities
5126,Why light needs darkness,Sculpting waves in wood and time
5127,Why light needs darkness,How do you build a sacred space?
5128,Why light needs darkness,Wireless data from every light bulb
5129,Why light needs darkness,"The weird, wonderful world of bioluminescence"
5130,If I should have a daughter ...,"Poems of war, peace, women, power"
5131,If I should have a daughter ...,The Museum of Four in the Morning
5132,If I should have a daughter ...,A powerful poem about what it feels like to be transgender
5133,If I should have a daughter ...,"Everyday moments, caught in time"
5134,If I should have a daughter ...,Why people need poetry
5135,If I should have a daughter ...,Can a computer write poetry?
5136,The magic washing machine,Let my dataset change your mindset
5137,The magic washing machine,The jobs we'll lose to machines -- and the ones we won't
5138,The magic washing machine,Don't fear intelligent machines. Work with them
5139,The magic washing machine,The birth of the computer
5140,The magic washing machine,How to engineer a viral music video
5141,The magic washing machine,Can we build AI without losing control over it?
5142,"Evolution's gift of play, from bonobo apes to humans",The gentle genius of bonobos
5143,"Evolution's gift of play, from bonobo apes to humans",Play is more than just fun
5144,"Evolution's gift of play, from bonobo apes to humans","A manifesto for play, for Bulgaria and beyond"
5145,"Evolution's gift of play, from bonobo apes to humans",Tales of creativity and play
5146,"Evolution's gift of play, from bonobo apes to humans",Are we designed to be sexual omnivores?
5147,"Evolution's gift of play, from bonobo apes to humans",What separates us from chimpanzees?
5148,It's time to question bio-engineering,"The weird, wonderful world of bioluminescence"
